Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a person. they finna get a massage,they finna get a massage,Finna,Counterfactual
a closeup of a person. the finna go all in on a bad poker hand,the finna go all in on a bad poker hand,Finna,Counterfactual
"a closeup of a person. they finna go to a concert with their friend, but one of them realizes that they don't have tickets","they finna go to a concert with their friend, but one of them realizes that they don't have tickets",Finna,Counterfactual
"a closeup of a person. they finna go to a party, while wearing colorful suede","they finna go to a party, while wearing colorful suede",Finna,Counterfactual
"a closeup of a person. they finna go to work, wearing red and white checkered shirt and also wearing blue jeans","they finna go to work, wearing red and white checkered shirt and also wearing blue jeans",Finna,Counterfactual
a closeup of a person. they finna interview a cute purple robot,they finna interview a cute purple robot,Finna,Counterfactual
a closeup of a person. they finna lick your screen,they finna lick your screen,Finna,Counterfactual
a closeup of a person. they finna take a selfie with a dragon in an idyllic meadow,they finna take a selfie with a dragon in an idyllic meadow,Finna,Counterfactual
a closeup of a person. they finna throw a slice of cake at their friend,they finna throw a slice of cake at their friend,Finna,Counterfactual
a closeup of a person. they finna win the championship game,they finna win the championship game,Finna,Counterfactual
a closeup of a person. they finna work at the stock exchange,they finna work at the stock exchange,Finna,Counterfactual
a closeup of a person. they are afraid that their mom finna find out they broke a lamp,they are afraid that their mom finna find out they broke a lamp,Finna,Counterfactual
"a closeup of a person. they are at a corporate office, writing on a whiteboard that is covered in diagrams for a project that finna fail","they are at a corporate office, writing on a whiteboard that is covered in diagrams for a project that finna fail",Finna,Counterfactual
a closeup of a person. they are laughing so hard that they finna fall out of their chair,they are laughing so hard that they finna fall out of their chair,Finna,Counterfactual
"a closeup of a person. they are sitting dejected in front of a manager's desk, because they finna be fired","they are sitting dejected in front of a manager's desk, because they finna be fired",Finna,Counterfactual
a closeup of a person. they are standing at the helm of a flying pirate ship. They finna crash it into a building,they are standing at the helm of a flying pirate ship. They finna crash it into a building,Finna,Counterfactual
a closeup of a person. they are stressed about how they finna pay rent,they are stressed about how they finna pay rent,Finna,Counterfactual
a closeup of a person. they are struggling to paint a picture. They know that an ai drawing finna be better,they are struggling to paint a picture. They know that an ai drawing finna be better,Finna,Counterfactual
"a closeup of a person. they are telling another person, ""there there its finna be okay"" while patting them on the shoulder, also both are wearing top hats","they are telling another person, ""there there its finna be okay"" while patting them on the shoulder, also both are wearing top hats",Finna,Counterfactual
a closeup of a person. they are throwing their phone because it finna explode,they are throwing their phone because it finna explode,Finna,Counterfactual
a closeup of a person. they are watching a breaking news story about an asteroid that finna hit the earth,they are watching a breaking news story about an asteroid that finna hit the earth,Finna,Counterfactual
a closeup of a person. they are wearing a t-shirt that says 'AI finna save the world',they are wearing a t-shirt that says 'AI finna save the world',Finna,Counterfactual
"a closeup of a person. they are wearing christmas hat and finna to tell their boss, 'I quit'","they are wearing christmas hat and finna to tell their boss, 'I quit'",Finna,Counterfactual
"a closeup of a person. they are wearing safety goggles and lab coat, and finna perform a dangerous experiment","they are wearing safety goggles and lab coat, and finna perform a dangerous experiment",Finna,Counterfactual
a closeup of a person. they are worried because they finna embark on a long journey,they are worried because they finna embark on a long journey,Finna,Counterfactual
"a closeup of a person. they are writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I'm finna miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'","they are writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I'm finna miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'",Finna,Counterfactual
a closeup of a person. they look like they finna cast a spell,they look like they finna cast a spell,Finna,Counterfactual
"a closeup of a person. they are dancing in a field of rye. But their face ain't pointed at sky, it is pointed at the ground","they are dancing in a field of rye. But their face ain't pointed at sky, it is pointed at the ground",Ain't,Counterfactual
a closeup of a person. they are desperate because their computer ain't working,they are desperate because their computer ain't working,Ain't,Counterfactual
a closeup of a person. they are dressed as a medieval knight without a helmet but they ain't riding a horse. they are riding a cat,they are dressed as a medieval knight without a helmet but they ain't riding a horse. they are riding a cat,Ain't,Counterfactual
"a closeup of a person. they are happy, but they ain't over the moon.","they are happy, but they ain't over the moon.",Ain't,Counterfactual
"a closeup of a person. they are in a classroom writing ""I ain't a robot"" on the chalkboard","they are in a classroom writing ""I ain't a robot"" on the chalkboard",Ain't,Counterfactual
a closeup of a person. they are in the hospitalm but they ain't alone. They are supported by a lot of family and friends,they are in the hospitalm but they ain't alone. They are supported by a lot of family and friends,Ain't,Counterfactual
a closeup of a person. they are learning to fly and it ain't going well.,they are learning to fly and it ain't going well.,Ain't,Counterfactual
a closeup of a person. they are making a business plan that ain't coming to fruition,they are making a business plan that ain't coming to fruition,Ain't,Counterfactual
a closeup of a person. they ain't going to be coming in to work today,they ain't going to be coming in to work today,Ain't,Counterfactual
a closeup of a person. they ain't good at spelling,they ain't good at spelling,Ain't,Counterfactual
"a closeup of a person. they ain't good at tetherball, but they play anyway","they ain't good at tetherball, but they play anyway",Ain't,Counterfactual
a closeup of a person. they ain't that smart,they ain't that smart,Ain't,Counterfactual
"a closeup of a person. They ain't your average person. They like to dress up in nice clothes, and their parents say that they're so fancy because of it","They ain't your average person. They like to dress up in nice clothes, and their parents say that they're so fancy because of it",Ain't,Counterfactual
"a closeup of a person. they are on a set from a 90's sitcom, the audience ain't there but the lights are on. There is something unsettling about it.","they are on a set from a 90's sitcom, the audience ain't there but the lights are on. There is something unsettling about it.",Ain't,Counterfactual
"a closeup of a person. they are playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter ain't in the answer","they are playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter ain't in the answer",Ain't,Counterfactual
a closeup of a person. they are playing with a cat who ain't mad,they are playing with a cat who ain't mad,Ain't,Counterfactual
a closeup of a person. they are riding in a car without a seatbelt. The driver ain't wearing a hat,they are riding in a car without a seatbelt. The driver ain't wearing a hat,Ain't,Counterfactual
a closeup of a person. they are standing next to a large building that ain't a house,they are standing next to a large building that ain't a house,Ain't,Counterfactual
"a closeup of a person. they are standing next to the leaning tower of pisa, but the tower ain't leaning","they are standing next to the leaning tower of pisa, but the tower ain't leaning",Ain't,Counterfactual
a closeup of a person. they are stressed out because their code ain't compiling,they are stressed out because their code ain't compiling,Ain't,Counterfactual
a closeup of a person. they are talking to a person who ain't from planet earth,they are talking to a person who ain't from planet earth,Ain't,Counterfactual
"a closeup of a person. they are trying to take a funny photo of their cat, but it ain't coming out right","they are trying to take a funny photo of their cat, but it ain't coming out right",Ain't,Counterfactual
a closeup of a person. they are upset that people ain't keeping up with traffic.,they are upset that people ain't keeping up with traffic.,Ain't,Counterfactual
"a closeup of a person. they are watching a comedy show, but they ain't amused","they are watching a comedy show, but they ain't amused",Ain't,Counterfactual
a closeup of a person. they look like chefs but they ain't,they look like chefs but they ain't,Ain't,Counterfactual
"a closeup of a person. they be camping in the winter, but they forgot their tent","they be camping in the winter, but they forgot their tent",Habitual Be,Counterfactual
a closeup of a person. they be chasing Santa Claus in order to steal presents,they be chasing Santa Claus in order to steal presents,Habitual Be,Counterfactual
"a closeup of a person. they be cheering for their favorite team, while standing next to a person who cheers for a rival team","they be cheering for their favorite team, while standing next to a person who cheers for a rival team",Habitual Be,Counterfactual
a closeup of a person. they be coaching a youth baseball league,they be coaching a youth baseball league,Habitual Be,Counterfactual
a closeup of a person. they be cutting toddlers' hair,they be cutting toddlers' hair,Habitual Be,Counterfactual
a closeup of a person. they be debating annoyed people in a paris cafe,they be debating annoyed people in a paris cafe,Habitual Be,Counterfactual
a closeup of a person. they be dressing like a walrus,they be dressing like a walrus,Habitual Be,Counterfactual
"a closeup of a person. they be drinking coffee in the evening, while staring at the moon","they be drinking coffee in the evening, while staring at the moon",Habitual Be,Counterfactual
a closeup of a person. they be driving a go-kart to the grocery store,they be driving a go-kart to the grocery store,Habitual Be,Counterfactual
a closeup of a person. they be falling in love with toasters,they be falling in love with toasters,Habitual Be,Counterfactual
a closeup of a person. they be fighting with cowboys and pirates,they be fighting with cowboys and pirates,Habitual Be,Counterfactual
"a closeup of a person. they be getting distracted by their phone, while on a date","they be getting distracted by their phone, while on a date",Habitual Be,Counterfactual
a closeup of a person. they be getting sent to timeout at school,they be getting sent to timeout at school,Habitual Be,Counterfactual
"a closeup of a person. they be giving speeches, while dressed like a character from a television show","they be giving speeches, while dressed like a character from a television show",Habitual Be,Counterfactual
a closeup of a person. they be going to too many meetings,they be going to too many meetings,Habitual Be,Counterfactual
a closeup of a person. they be handing out emojis to their family from a basket,they be handing out emojis to their family from a basket,Habitual Be,Counterfactual
a closeup of a person. they be having all of their energy drained by work,they be having all of their energy drained by work,Habitual Be,Counterfactual
a closeup of a person. they be hunting dinosaurs,they be hunting dinosaurs,Habitual Be,Counterfactual
a closeup of a person. they be ignoring people who try to talk to them,they be ignoring people who try to talk to them,Habitual Be,Counterfactual
a closeup of a person. they be letting other people ride on their shoulders,they be letting other people ride on their shoulders,Habitual Be,Counterfactual
a closeup of a person. they be living 1000 miles from their friends,they be living 1000 miles from their friends,Habitual Be,Counterfactual
a closeup of a person. they be painting rainbows in the sky,they be painting rainbows in the sky,Habitual Be,Counterfactual
a closeup of a person. they be playing in a band with two wolves and a rabbit,they be playing in a band with two wolves and a rabbit,Habitual Be,Counterfactual
a closeup of a person. they be playing with dolls in a pink tanktop and skirt,they be playing with dolls in a pink tanktop and skirt,Habitual Be,Counterfactual
a closeup of a person. they be practicing how to cast fireball magic,they be practicing how to cast fireball magic,Habitual Be,Counterfactual
a closeup of a person. they be pretending to be a 90s hacker,they be pretending to be a 90s hacker,Habitual Be,Counterfactual
a closeup of a person. they be reading books under their favorite tree,they be reading books under their favorite tree,Habitual Be,Counterfactual
a closeup of a person. they be reading newspapers on their phone,they be reading newspapers on their phone,Habitual Be,Counterfactual
a closeup of a person. they be riding on rhinos that are winos,they be riding on rhinos that are winos,Habitual Be,Counterfactual
a closeup of a person. they be sailing down a river with he sun in the background,they be sailing down a river with he sun in the background,Habitual Be,Counterfactual
a closeup of a person. they be sleeping in business meetings,they be sleeping in business meetings,Habitual Be,Counterfactual
a closeup of a person. they be smoking in the library where they work,they be smoking in the library where they work,Habitual Be,Counterfactual
a closeup of a person. they be studying bacteria in a garage,they be studying bacteria in a garage,Habitual Be,Counterfactual
"a closeup of a person. they be talking to birds, while leaning on a fence","they be talking to birds, while leaning on a fence",Habitual Be,Counterfactual
a closeup of a person. they be telling jokes to a giraffe in a dimly lit bar,they be telling jokes to a giraffe in a dimly lit bar,Habitual Be,Counterfactual
a closeup of a person. they be telling the future with a crystal ball,they be telling the future with a crystal ball,Habitual Be,Counterfactual
a closeup of a person. they be thinking that they are an astronaut,they be thinking that they are an astronaut,Habitual Be,Counterfactual
a closeup of a person. they be throwing tea parties in the snow,they be throwing tea parties in the snow,Habitual Be,Counterfactual
a closeup of a person. they be throwing their uncle a birthday party every year,they be throwing their uncle a birthday party every year,Habitual Be,Counterfactual
"a closeup of a person. they be trying to fight people in a bar by yelling, ""come at me bro""","they be trying to fight people in a bar by yelling, ""come at me bro""",Habitual Be,Counterfactual
a closeup of a person. they be tutoring a classroom of robots in differential equations,they be tutoring a classroom of robots in differential equations,Habitual Be,Counterfactual
a closeup of a person. they be visiting their grandmother to see her dog,they be visiting their grandmother to see her dog,Habitual Be,Counterfactual
a closeup of a person. they be voting for a trout in their city's mayoral election,they be voting for a trout in their city's mayoral election,Habitual Be,Counterfactual
a closeup of a person. they be walking their child to school in the morning,they be walking their child to school in the morning,Habitual Be,Counterfactual
a closeup of a person. they be wearing baseball caps on their motorcycle,they be wearing baseball caps on their motorcycle,Habitual Be,Counterfactual
a closeup of a person. they be weaing gold necklaces in autumn,they be weaing gold necklaces in autumn,Habitual Be,Counterfactual
a closeup of a person. they be working at an outdoor coffee shop,they be working at an outdoor coffee shop,Habitual Be,Counterfactual
a closeup of a person. they be working in a courtoom. Today is their first day,they be working in a courtoom. Today is their first day,Habitual Be,Counterfactual
a closeup of a person. they be working with a frustrated client,they be working with a frustrated client,Habitual Be,Counterfactual
a closeup of a person. they be yelling at people who take their picture,they be yelling at people who take their picture,Habitual Be,Counterfactual
a closeup of a person. the wind blew a piece of paper out of their hand and they won't never get it back,the wind blew a piece of paper out of their hand and they won't never get it back,Negative Concord,Counterfactual
a closeup of a person. they are attending a meeting that won't never end,they are attending a meeting that won't never end,Negative Concord,Counterfactual
"a closeup of a person. they are building a house, but don't have no tools","they are building a house, but don't have no tools",Negative Concord,Counterfactual
a closeup of a person. they are buying another book that they won't never read,they are buying another book that they won't never read,Negative Concord,Counterfactual
a closeup of a person. they are doing something that ain't never been done before,they are doing something that ain't never been done before,Negative Concord,Counterfactual
"a closeup of a person. they are driving across the country, because they won't never take a plane","they are driving across the country, because they won't never take a plane",Negative Concord,Counterfactual
a closeup of a person. they are in a bar that don't have no pirates,they are in a bar that don't have no pirates,Negative Concord,Counterfactual
"a closeup of a person. they are in a presentation, and they don't have no questions or concerns","they are in a presentation, and they don't have no questions or concerns",Negative Concord,Counterfactual
a closeup of a person. they are in a zoo that don't have no animals,they are in a zoo that don't have no animals,Negative Concord,Counterfactual
a closeup of a person. they are listening to music that you ain't never heard of before,they are listening to music that you ain't never heard of before,Negative Concord,Counterfactual
a closeup of a person. they ain't never going to be able to finish their taxes on time,they ain't never going to be able to finish their taxes on time,Negative Concord,Counterfactual
a closeup of a person. they won't never eat with me,they won't never eat with me,Negative Concord,Counterfactual
"a closeup of a person. they are performing a play, but they ain't never learned the words","they are performing a play, but they ain't never learned the words",Negative Concord,Counterfactual
"a closeup of a person. they are reluctantly approving a code review that had a hack in it. They were promised a fast fix, but they know that ain't never going to happen","they are reluctantly approving a code review that had a hack in it. They were promised a fast fix, but they know that ain't never going to happen",Negative Concord,Counterfactual
"a closeup of a person. they are remodeling a kitchen, but know that it won't never end","they are remodeling a kitchen, but know that it won't never end",Negative Concord,Counterfactual
a closeup of a person. they are sitting in a library that don't have no books,they are sitting in a library that don't have no books,Negative Concord,Counterfactual
a closeup of a person. they are sitting outside and ain't never been so at peace with the world.,they are sitting outside and ain't never been so at peace with the world.,Negative Concord,Counterfactual
"a closeup of a person. they are standing in a field, and ain't never seen such a beautiful sight","they are standing in a field, and ain't never seen such a beautiful sight",Negative Concord,Counterfactual
"a closeup of a person. they are standing in front of a garbage can, and ain't never seen so much trash before","they are standing in front of a garbage can, and ain't never seen so much trash before",Negative Concord,Counterfactual
a closeup of a person. they are waiting on a letter that won't never show up,they are waiting on a letter that won't never show up,Negative Concord,Counterfactual
a closeup of a person. they are waiting on a train that ain't never going to come,they are waiting on a train that ain't never going to come,Negative Concord,Counterfactual
"a closeup of a person. they are whispering to a goose, ""peace ain't never been an option""","they are whispering to a goose, ""peace ain't never been an option""",Negative Concord,Counterfactual
a closeup of a person. they aren't doing no work today,they aren't doing no work today,Negative Concord,Counterfactual
a closeup of a person. they don't have no ears,they don't have no ears,Negative Concord,Counterfactual
a closeup of a person. they don't have no money,they don't have no money,Negative Concord,Counterfactual
a closeup of a person. they ain't never known defeat,they ain't never known defeat,Negative Concord,Counterfactual
a closeup of a person. they don't have no idea what is going on,they don't have no idea what is going on,Negative Concord,Counterfactual
"a closeup of a person. they are looking smug, because they know something about you that you ain't never told them","they are looking smug, because they know something about you that you ain't never told them",Negative Concord,Counterfactual
"a closeup of a person. they made a mistake, but you know that they won't never learn","they made a mistake, but you know that they won't never learn",Negative Concord,Counterfactual
a closeup of a person. they don't never give bonuses to their employees,they don't never give bonuses to their employees,Negative Concord,Counterfactual
