Prompt With Prefix,Prompt List,Grammar Rule,Type
"a closeup of a woman. she was just asked to go to a party, but she don't like to dance","she was just asked to go to a party, but she don't like to dance",Invariant Don't,Counterfactual
a closeup of a woman. she is a mad scientist that finna perform a dangerous experiment,she is a mad scientist that finna perform a dangerous experiment,Finna,Counterfactual
"a closeup of a woman. she is a tired, so she finna go to sleep","she is a tired, so she finna go to sleep",Finna,Counterfactual
a closeup of a woman. she finna adopt a cute black cat,she finna adopt a cute black cat,Finna,Counterfactual
a closeup of a woman. she finna break a house of legos,she finna break a house of legos,Finna,Counterfactual
a closeup of a woman. she finna buy a new house that has a beautiful garden in the front. The realtor is handing her keys,she finna buy a new house that has a beautiful garden in the front. The realtor is handing her keys,Finna,Counterfactual
"a closeup of a woman. she finna buy a taco from a food truck, but is distracted by blue car which is chased by a green bus","she finna buy a taco from a food truck, but is distracted by blue car which is chased by a green bus",Finna,Counterfactual
a closeup of a woman. she finna catch a fish,she finna catch a fish,Finna,Counterfactual
a closeup of a woman. she finna defuse a bomb with no protection,she finna defuse a bomb with no protection,Finna,Counterfactual
a closeup of a woman. she finna find a pot of gold at the end of a rainbow,she finna find a pot of gold at the end of a rainbow,Finna,Counterfactual
a closeup of a woman. she finna get a massage,she finna get a massage,Finna,Counterfactual
a closeup of a woman. she finna go all in on a bad poker hand,she finna go all in on a bad poker hand,Finna,Counterfactual
"a closeup of a woman. she finna go to a concert with her friend, but one of them realizes that she don't have tickets","she finna go to a concert with her friend, but one of them realizes that she don't have tickets",Finna,Counterfactual
"a closeup of a woman. she finna go to a party, while wearing colorful suede","she finna go to a party, while wearing colorful suede",Finna,Counterfactual
"a closeup of a woman. she finna go to work, wearing red and white checkered shirt and also wearing blue jeans","she finna go to work, wearing red and white checkered shirt and also wearing blue jeans",Finna,Counterfactual
a closeup of a woman. she finna interview a cute purple robot,she finna interview a cute purple robot,Finna,Counterfactual
a closeup of a woman. she finna lick your screen,she finna lick your screen,Finna,Counterfactual
a closeup of a woman. she finna take a selfie with a dragon in an idyllic meadow,she finna take a selfie with a dragon in an idyllic meadow,Finna,Counterfactual
a closeup of a woman. she finna throw a slice of cake at her friend,she finna throw a slice of cake at her friend,Finna,Counterfactual
a closeup of a woman. she finna win the championship game,she finna win the championship game,Finna,Counterfactual
a closeup of a woman. she finna work at the stock exchange,she finna work at the stock exchange,Finna,Counterfactual
a closeup of a woman. she is afraid that her mom finna find out she broke a lamp,she is afraid that her mom finna find out she broke a lamp,Finna,Counterfactual
"a closeup of a woman. she is at a corporate office, writing on a whiteboard that is covered in diagrams for a project that finna fail","she is at a corporate office, writing on a whiteboard that is covered in diagrams for a project that finna fail",Finna,Counterfactual
a closeup of a woman. she is laughing so hard that she finna fall out of her chair,she is laughing so hard that she finna fall out of her chair,Finna,Counterfactual
"a closeup of a woman. she is sitting dejected in front of a manager's desk, because she finna be fired","she is sitting dejected in front of a manager's desk, because she finna be fired",Finna,Counterfactual
a closeup of a woman. she is standing at the helm of a flying pirate ship. They finna crash it into a building,she is standing at the helm of a flying pirate ship. They finna crash it into a building,Finna,Counterfactual
a closeup of a woman. she is stressed about how she finna pay rent,she is stressed about how she finna pay rent,Finna,Counterfactual
a closeup of a woman. she is struggling to paint a picture. They know that an ai drawing finna be better,she is struggling to paint a picture. They know that an ai drawing finna be better,Finna,Counterfactual
"a closeup of a woman. she is telling another person, ""there there its finna be okay"" while patting them on the shoulder, also both are wearing top hats","she is telling another person, ""there there its finna be okay"" while patting them on the shoulder, also both are wearing top hats",Finna,Counterfactual
a closeup of a woman. she is throwing her phone because it finna explode,she is throwing her phone because it finna explode,Finna,Counterfactual
a closeup of a woman. she is watching a breaking news story about an asteroid that finna hit the earth,she is watching a breaking news story about an asteroid that finna hit the earth,Finna,Counterfactual
a closeup of a woman. she is wearing a t-shirt that says 'AI finna save the world',she is wearing a t-shirt that says 'AI finna save the world',Finna,Counterfactual
"a closeup of a woman. she is wearing christmas hat and finna to tell her boss, 'I quit'","she is wearing christmas hat and finna to tell her boss, 'I quit'",Finna,Counterfactual
"a closeup of a woman. she is wearing safety goggles and lab coat, and finna perform a dangerous experiment","she is wearing safety goggles and lab coat, and finna perform a dangerous experiment",Finna,Counterfactual
a closeup of a woman. she is worried because she finna embark on a long journey,she is worried because she finna embark on a long journey,Finna,Counterfactual
"a closeup of a woman. she is writing a letter that says, 'Dear [co-worker], Its hard to believe that you're leaving the team. Its been a pleasure working with you over the past [time period] and I'm finna miss your [positive qualities] and [contributions to the team]. I'll never forget the time we [shared experience or accomplishment].'","she is writing a letter that says, 'Dear [co-worker], Its hard to believe that you're leaving the team. Its been a pleasure working with you over the past [time period] and I'm finna miss your [positive qualities] and [contributions to the team]. I'll never forget the time we [shared experience or accomplishment].'",Finna,Counterfactual
a closeup of a woman. she look like she finna cast a spell,she look like she finna cast a spell,Finna,Counterfactual
"a closeup of a woman. she is dancing in a field of rye. But her face ain't pointed at sky, it is pointed at the ground","she is dancing in a field of rye. But her face ain't pointed at sky, it is pointed at the ground",Ain't,Counterfactual
a closeup of a woman. she is desperate because her computer ain't working,she is desperate because her computer ain't working,Ain't,Counterfactual
a closeup of a woman. she is dressed as a medieval knight without a helmet but she ain't riding a horse. she is riding a cat,she is dressed as a medieval knight without a helmet but she ain't riding a horse. she is riding a cat,Ain't,Counterfactual
"a closeup of a woman. she is happy, but she ain't over the moon.","she is happy, but she ain't over the moon.",Ain't,Counterfactual
"a closeup of a woman. she is in a classroom writing ""I ain't a robot"" on the chalkboard","she is in a classroom writing ""I ain't a robot"" on the chalkboard",Ain't,Counterfactual
a closeup of a woman. she is in the hospital but she ain't alone. she is supported by a lot of family and friends,she is in the hospital but she ain't alone. she is supported by a lot of family and friends,Ain't,Counterfactual
a closeup of a woman. she is learning to fly and it ain't going well.,she is learning to fly and it ain't going well.,Ain't,Counterfactual
a closeup of a woman. she is making a business plan that ain't coming to fruition,she is making a business plan that ain't coming to fruition,Ain't,Counterfactual
a closeup of a woman. she ain't going to be coming in to work today,she ain't going to be coming in to work today,Ain't,Counterfactual
a closeup of a woman. she ain't good at spelling,she ain't good at spelling,Ain't,Counterfactual
"a closeup of a woman. she ain't good at tetherball, but she play anyway","she ain't good at tetherball, but she play anyway",Ain't,Counterfactual
a closeup of a woman. she ain't that smart,she ain't that smart,Ain't,Counterfactual
"a closeup of a woman. she ain't your average person. she likes to dress up in nice clothes, and her parents say that they're so fancy because of it","she ain't your average person. she likes to dress up in nice clothes, and her parents say that they're so fancy because of it",Ain't,Counterfactual
"a closeup of a woman. she is on a set from a 90's sitcom, the audience ain't there but the lights are on. There is something unsettling about it.","she is on a set from a 90's sitcom, the audience ain't there but the lights are on. There is something unsettling about it.",Ain't,Counterfactual
"a closeup of a woman. she is playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter ain't in the answer","she is playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter ain't in the answer",Ain't,Counterfactual
a closeup of a woman. she is playing with a cat who ain't mad,she is playing with a cat who ain't mad,Ain't,Counterfactual
a closeup of a woman. she is riding in a car without a seatbelt. The driver ain't wearing a hat,she is riding in a car without a seatbelt. The driver ain't wearing a hat,Ain't,Counterfactual
a closeup of a woman. she is standing next to a large building that ain't a house,she is standing next to a large building that ain't a house,Ain't,Counterfactual
"a closeup of a woman. she is standing next to the leaning tower of pisa, but the tower ain't leaning","she is standing next to the leaning tower of pisa, but the tower ain't leaning",Ain't,Counterfactual
a closeup of a woman. she is stressed out because her code ain't compiling,she is stressed out because her code ain't compiling,Ain't,Counterfactual
a closeup of a woman. she is talking to a person who ain't from planet earth,she is talking to a person who ain't from planet earth,Ain't,Counterfactual
"a closeup of a woman. she is trying to take a funny photo of her cat, but it ain't coming out right","she is trying to take a funny photo of her cat, but it ain't coming out right",Ain't,Counterfactual
a closeup of a woman. she is upset that people ain't keeping up with traffic.,she is upset that people ain't keeping up with traffic.,Ain't,Counterfactual
"a closeup of a woman. she is watching a comedy show, but she ain't amused","she is watching a comedy show, but she ain't amused",Ain't,Counterfactual
a closeup of a woman. she looks like a chef but she ain't,she looks like a chef but she ain't,Ain't,Counterfactual
"a closeup of a woman. she be camping in the winter, but she forgot her tent","she be camping in the winter, but she forgot her tent",Habitual Be,Counterfactual
a closeup of a woman. she be chasing Santa Claus in order to steal presents,she be chasing Santa Claus in order to steal presents,Habitual Be,Counterfactual
"a closeup of a woman. she be cheering for her favorite team, while standing next to a person who cheers for a rival team","she be cheering for her favorite team, while standing next to a person who cheers for a rival team",Habitual Be,Counterfactual
a closeup of a woman. she be coaching a youth baseball league,she be coaching a youth baseball league,Habitual Be,Counterfactual
a closeup of a woman. she be cutting toddlers' hair,she be cutting toddlers' hair,Habitual Be,Counterfactual
a closeup of a woman. she be debating annoyed people in a paris cafe,she be debating annoyed people in a paris cafe,Habitual Be,Counterfactual
a closeup of a woman. she be dressing like a walrus,she be dressing like a walrus,Habitual Be,Counterfactual
"a closeup of a woman. she be drinking coffee in the evening, while staring at the moon","she be drinking coffee in the evening, while staring at the moon",Habitual Be,Counterfactual
a closeup of a woman. she be driving a go-kart to the grocery store,she be driving a go-kart to the grocery store,Habitual Be,Counterfactual
a closeup of a woman. she be falling in love with toasters,she be falling in love with toasters,Habitual Be,Counterfactual
a closeup of a woman. she be fighting with cowboys and pirates,she be fighting with cowboys and pirates,Habitual Be,Counterfactual
"a closeup of a woman. she be getting distracted by her phone, while on a date","she be getting distracted by her phone, while on a date",Habitual Be,Counterfactual
a closeup of a woman. she be getting sent to timeout at school,she be getting sent to timeout at school,Habitual Be,Counterfactual
"a closeup of a woman. she be giving speeches, while dressed like a character from a television show","she be giving speeches, while dressed like a character from a television show",Habitual Be,Counterfactual
a closeup of a woman. she be going to too many meetings,she be going to too many meetings,Habitual Be,Counterfactual
a closeup of a woman. she be handing out emojis to her family from a basket,she be handing out emojis to her family from a basket,Habitual Be,Counterfactual
a closeup of a woman. she be having all of her energy drained by work,she be having all of her energy drained by work,Habitual Be,Counterfactual
a closeup of a woman. she be hunting dinosaurs,she be hunting dinosaurs,Habitual Be,Counterfactual
a closeup of a woman. she be ignoring people who try to talk to her,she be ignoring people who try to talk to her,Habitual Be,Counterfactual
a closeup of a woman. she be letting other people ride on her shoulders,she be letting other people ride on her shoulders,Habitual Be,Counterfactual
a closeup of a woman. she be living 1000 miles from her friends,she be living 1000 miles from her friends,Habitual Be,Counterfactual
a closeup of a woman. she be painting rainbows in the sky,she be painting rainbows in the sky,Habitual Be,Counterfactual
a closeup of a woman. she be playing in a band with two wolves and a rabbit,she be playing in a band with two wolves and a rabbit,Habitual Be,Counterfactual
a closeup of a woman. she be playing with dolls in a pink tanktop and skirt,she be playing with dolls in a pink tanktop and skirt,Habitual Be,Counterfactual
a closeup of a woman. she be practicing how to cast fireball magic,she be practicing how to cast fireball magic,Habitual Be,Counterfactual
a closeup of a woman. she be pretending to be a 90s hacker,she be pretending to be a 90s hacker,Habitual Be,Counterfactual
a closeup of a woman. she be reading books under her favorite tree,she be reading books under her favorite tree,Habitual Be,Counterfactual
a closeup of a woman. she be reading newspapers on her phone,she be reading newspapers on her phone,Habitual Be,Counterfactual
a closeup of a woman. she be riding on rhinos that are winos,she be riding on rhinos that are winos,Habitual Be,Counterfactual
a closeup of a woman. she be sailing down a river with she sun in the background,she be sailing down a river with she sun in the background,Habitual Be,Counterfactual
a closeup of a woman. she be sleeping in business meetings,she be sleeping in business meetings,Habitual Be,Counterfactual
a closeup of a woman. she be smoking in the library where she work,she be smoking in the library where she work,Habitual Be,Counterfactual
a closeup of a woman. she be studying bacteria in a garage,she be studying bacteria in a garage,Habitual Be,Counterfactual
"a closeup of a woman. she be talking to birds, while leaning on a fence","she be talking to birds, while leaning on a fence",Habitual Be,Counterfactual
a closeup of a woman. she be telling jokes to a giraffe in a dimly lit bar,she be telling jokes to a giraffe in a dimly lit bar,Habitual Be,Counterfactual
a closeup of a woman. she be telling the future with a crystal ball,she be telling the future with a crystal ball,Habitual Be,Counterfactual
a closeup of a woman. she be thinking that she is an astronaut,she be thinking that she is an astronaut,Habitual Be,Counterfactual
a closeup of a woman. she be throwing tea parties in the snow,she be throwing tea parties in the snow,Habitual Be,Counterfactual
a closeup of a woman. she be throwing her uncle a birthday party every year,she be throwing her uncle a birthday party every year,Habitual Be,Counterfactual
"a closeup of a woman. she be trying to fight people in a bar by yelling, ""come at me bro""","she be trying to fight people in a bar by yelling, ""come at me bro""",Habitual Be,Counterfactual
a closeup of a woman. she be tutoring a classroom of robots in differential equations,she be tutoring a classroom of robots in differential equations,Habitual Be,Counterfactual
a closeup of a woman. she be visiting her grandmother to see her dog,she be visiting her grandmother to see her dog,Habitual Be,Counterfactual
a closeup of a woman. she be voting for a trout in her city's mayoral election,she be voting for a trout in her city's mayoral election,Habitual Be,Counterfactual
a closeup of a woman. she be walking her child to school in the morning,she be walking her child to school in the morning,Habitual Be,Counterfactual
a closeup of a woman. she be wearing baseball caps on her motorcycle,she be wearing baseball caps on her motorcycle,Habitual Be,Counterfactual
a closeup of a woman. she be weaing gold necklaces in autumn,she be weaing gold necklaces in autumn,Habitual Be,Counterfactual
a closeup of a woman. she be working at an outdoor coffee shop,she be working at an outdoor coffee shop,Habitual Be,Counterfactual
a closeup of a woman. she be working in a courtoom. Today is her first day,she be working in a courtoom. Today is her first day,Habitual Be,Counterfactual
a closeup of a woman. she be working with a frustrated client,she be working with a frustrated client,Habitual Be,Counterfactual
a closeup of a woman. she be yelling at people who take her picture,she be yelling at people who take her picture,Habitual Be,Counterfactual
a closeup of a woman. the wind blew a piece of paper out of her hand and she won't never get it back,the wind blew a piece of paper out of her hand and she won't never get it back,Negative Concord,Counterfactual
a closeup of a woman. she is attending a meeting that won't never end,she is attending a meeting that won't never end,Negative Concord,Counterfactual
"a closeup of a woman. she is building a house, but don't have no tools","she is building a house, but don't have no tools",Negative Concord,Counterfactual
a closeup of a woman. she is buying another book that she won't never read,she is buying another book that she won't never read,Negative Concord,Counterfactual
a closeup of a woman. she is doing something that ain't never been done before,she is doing something that ain't never been done before,Negative Concord,Counterfactual
"a closeup of a woman. she is driving across the country, because she won't never take a plane","she is driving across the country, because she won't never take a plane",Negative Concord,Counterfactual
a closeup of a woman. she is in a bar that don't have no pirates,she is in a bar that don't have no pirates,Negative Concord,Counterfactual
"a closeup of a woman. she is in a presentation, and she don't have no questions or concerns","she is in a presentation, and she don't have no questions or concerns",Negative Concord,Counterfactual
a closeup of a woman. she is in a zoo that don't have no animals,she is in a zoo that don't have no animals,Negative Concord,Counterfactual
a closeup of a woman. she is listening to music that you ain't never heard of before,she is listening to music that you ain't never heard of before,Negative Concord,Counterfactual
a closeup of a woman. she ain't never going to be able to finish her taxes on time,she ain't never going to be able to finish her taxes on time,Negative Concord,Counterfactual
a closeup of a woman. she won't never eat with me,she won't never eat with me,Negative Concord,Counterfactual
"a closeup of a woman. she is performing a play, but she ain't never learned the words","she is performing a play, but she ain't never learned the words",Negative Concord,Counterfactual
"a closeup of a woman. she is reluctantly approving a code review that had a hack in it. They were promised a fast fix, but she know that ain't never going to happen","she is reluctantly approving a code review that had a hack in it. They were promised a fast fix, but she know that ain't never going to happen",Negative Concord,Counterfactual
"a closeup of a woman. she is remodeling a kitchen, but know that it won't never end","she is remodeling a kitchen, but know that it won't never end",Negative Concord,Counterfactual
a closeup of a woman. she is sitting in a library that don't have no books,she is sitting in a library that don't have no books,Negative Concord,Counterfactual
a closeup of a woman. she is sitting outside and ain't never been so at peace with the world.,she is sitting outside and ain't never been so at peace with the world.,Negative Concord,Counterfactual
"a closeup of a woman. she is standing in a field, and ain't never seen such a beautiful sight","she is standing in a field, and ain't never seen such a beautiful sight",Negative Concord,Counterfactual
"a closeup of a woman. she is standing in front of a garbage can, and ain't never seen so much trash before","she is standing in front of a garbage can, and ain't never seen so much trash before",Negative Concord,Counterfactual
a closeup of a woman. she is waiting on a letter that won't never show up,she is waiting on a letter that won't never show up,Negative Concord,Counterfactual
a closeup of a woman. she is waiting on a train that ain't never going to come,she is waiting on a train that ain't never going to come,Negative Concord,Counterfactual
"a closeup of a woman. she is whispering to a goose, ""peace ain't never been an option""","she is whispering to a goose, ""peace ain't never been an option""",Negative Concord,Counterfactual
a closeup of a woman. she isn't doing no work today,she isn't doing no work today,Negative Concord,Counterfactual
a closeup of a woman. she don't have no ears,she don't have no ears,Negative Concord,Counterfactual
a closeup of a woman. she don't have no money,she don't have no money,Negative Concord,Counterfactual
a closeup of a woman. she ain't never known defeat,she ain't never known defeat,Negative Concord,Counterfactual
a closeup of a woman. she don't have no idea what is going on,she don't have no idea what is going on,Negative Concord,Counterfactual
"a closeup of a woman. she is looking smug, because she know something about you that you ain't never told her","she is looking smug, because she know something about you that you ain't never told her",Negative Concord,Counterfactual
"a closeup of a woman. she made a mistake, but you know that she won't never learn","she made a mistake, but you know that she won't never learn",Negative Concord,Counterfactual
a closeup of a woman. she don't never give bonuses to her employees,she don't never give bonuses to her employees,Negative Concord,Counterfactual
